17:48:25.910994 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 3574583819:3574586715, ack 2860355411, win 58, options [nop,nop,TS val 27836492 ecr 27836491], length 2896
17:48:30.254630 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4106528:4109424, ack 1, win 58, options [nop,nop,TS val 27837555 ecr 27837554], length 2896
17:48:30.259475 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4109424:4112320, ack 1, win 58, options [nop,nop,TS val 27837556 ecr 27837555], length 2896
17:48:30.264320 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4112320:4115216, ack 1, win 58, options [nop,nop,TS val 27837557 ecr 27837556], length 2896
17:48:30.269165 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4115216:4118112, ack 1, win 58, options [nop,nop,TS val 27837559 ecr 27837557], length 2896
17:48:30.274009 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4118112:4121008, ack 1, win 58, options [nop,nop,TS val 27837560 ecr 27837559], length 2896
17:48:30.278854 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 4121008:4123904, ack 1, win 58, options [nop,nop,TS val 27837561 ecr 27837560], length 2896
17:48:30.283699 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4123904:4126800, ack 1, win 58, options [nop,nop,TS val 27837562 ecr 27837561], length 2896
17:48:30.288544 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4126800:4129696, ack 1, win 58, options [nop,nop,TS val 27837563 ecr 27837562], length 2896
17:48:30.293388 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4129696:4132592, ack 1, win 58, options [nop,nop,TS val 27837565 ecr 27837563], length 2896
17:48:30.298233 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4132592:4135488, ack 1, win 58, options [nop,nop,TS val 27837566 ecr 27837565], length 2896
17:48:30.303078 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4135488:4138384, ack 1, win 58, options [nop,nop,TS val 27837567 ecr 27837566], length 2896
17:48:30.307923 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4138384:4141280, ack 1, win 58, options [nop,nop,TS val 27837568 ecr 27837567], length 2896
17:48:30.312768 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4141280:4144176, ack 1, win 58, options [nop,nop,TS val 27837570 ecr 27837568], length 2896
17:48:30.317613 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4144176:4147072, ack 1, win 58, options [nop,nop,TS val 27837571 ecr 27837570], length 2896
17:48:30.322458 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4147072:4149968, ack 1, win 58, options [nop,nop,TS val 27837572 ecr 27837571], length 2896
17:48:30.327302 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4149968:4152864, ack 1, win 58, options [nop,nop,TS val 27837573 ecr 27837572], length 2896
17:48:30.332147 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4152864:4155760, ack 1, win 58, options [nop,nop,TS val 27837574 ecr 27837573], length 2896
17:48:30.336992 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4155760:4158656, ack 1, win 58, options [nop,nop,TS val 27837576 ecr 27837574], length 2896
17:48:30.341837 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4158656:4161552, ack 1, win 58, options [nop,nop,TS val 27837577 ecr 27837576], length 2896
17:48:30.346681 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4161552:4164448, ack 1, win 58, options [nop,nop,TS val 27837578 ecr 27837577], length 2896
17:48:30.351527 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4164448:4167344, ack 1, win 58, options [nop,nop,TS val 27837579 ecr 27837578], length 2896
17:48:30.356371 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4167344:4170240, ack 1, win 58, options [nop,nop,TS val 27837580 ecr 27837579], length 2896
17:48:30.361216 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4170240:4173136, ack 1, win 58, options [nop,nop,TS val 27837582 ecr 27837580], length 2896
17:48:30.366061 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4173136:4176032, ack 1, win 58, options [nop,nop,TS val 27837583 ecr 27837582], length 2896
17:48:30.370905 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4176032:4178928, ack 1, win 58, options [nop,nop,TS val 27837584 ecr 27837583], length 2896
17:48:30.375750 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4178928:4181824, ack 1, win 58, options [nop,nop,TS val 27837585 ecr 27837584], length 2896
17:48:30.380595 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4181824:4184720, ack 1, win 58, options [nop,nop,TS val 27837587 ecr 27837585], length 2896
17:48:30.385440 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4184720:4187616, ack 1, win 58, options [nop,nop,TS val 27837588 ecr 27837587], length 2896
17:48:30.390285 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4187616:4190512, ack 1, win 58, options [nop,nop,TS val 27837589 ecr 27837588], length 2896
17:48:30.395129 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4190512:4193408, ack 1, win 58, options [nop,nop,TS val 27837590 ecr 27837589], length 2896
17:48:30.399975 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4193408:4196304, ack 1, win 58, options [nop,nop,TS val 27837591 ecr 27837590], length 2896
17:48:30.404819 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4196304:4199200, ack 1, win 58, options [nop,nop,TS val 27837593 ecr 27837591], length 2896
17:48:30.409664 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4199200:4202096, ack 1, win 58, options [nop,nop,TS val 27837594 ecr 27837593], length 2896
17:48:30.414509 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4202096:4204992, ack 1, win 58, options [nop,nop,TS val 27837595 ecr 27837594], length 2896
17:48:30.419353 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4204992:4207888, ack 1, win 58, options [nop,nop,TS val 27837596 ecr 27837595], length 2896
17:48:30.424198 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4207888:4210784, ack 1, win 58, options [nop,nop,TS val 27837597 ecr 27837596], length 2896
17:48:30.429043 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4210784:4213680, ack 1, win 58, options [nop,nop,TS val 27837599 ecr 27837597], length 2896
17:48:30.433888 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4213680:4216576, ack 1, win 58, options [nop,nop,TS val 27837600 ecr 27837599], length 2896
17:48:30.438732 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4216576:4219472, ack 1, win 58, options [nop,nop,TS val 27837601 ecr 27837600], length 2896
17:48:30.443577 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4219472:4222368, ack 1, win 58, options [nop,nop,TS val 27837602 ecr 27837601], length 2896
17:48:30.448422 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4222368:4225264, ack 1, win 58, options [nop,nop,TS val 27837603 ecr 27837602], length 2896
17:48:30.453266 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4225264:4228160, ack 1, win 58, options [nop,nop,TS val 27837605 ecr 27837603], length 2896
17:48:30.458111 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4228160:4231056, ack 1, win 58, options [nop,nop,TS val 27837606 ecr 27837605], length 2896
17:48:30.462956 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4231056:4233952, ack 1, win 58, options [nop,nop,TS val 27837607 ecr 27837606], length 2896
17:48:30.467801 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4233952:4236848, ack 1, win 58, options [nop,nop,TS val 27837608 ecr 27837607], length 2896
17:48:30.472646 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4236848:4239744, ack 1, win 58, options [nop,nop,TS val 27837610 ecr 27837608], length 2896
17:48:30.477490 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4239744:4242640, ack 1, win 58, options [nop,nop,TS val 27837611 ecr 27837610], length 2896
17:48:30.482335 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4242640:4245536, ack 1, win 58, options [nop,nop,TS val 27837612 ecr 27837611], length 2896
17:48:30.487180 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4245536:4248432, ack 1, win 58, options [nop,nop,TS val 27837613 ecr 27837612], length 2896
17:48:30.492025 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4248432:4251328, ack 1, win 58, options [nop,nop,TS val 27837614 ecr 27837613], length 2896
17:48:30.496870 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4251328:4254224, ack 1, win 58, options [nop,nop,TS val 27837616 ecr 27837614], length 2896
17:48:30.501714 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4254224:4257120, ack 1, win 58, options [nop,nop,TS val 27837617 ecr 27837616], length 2896
17:48:30.506559 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4257120:4260016, ack 1, win 58, options [nop,nop,TS val 27837618 ecr 27837617], length 2896
17:48:30.511409 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4260016:4262912, ack 1, win 58, options [nop,nop,TS val 27837619 ecr 27837618], length 2896
17:48:30.516249 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4262912:4265808, ack 1, win 58, options [nop,nop,TS val 27837620 ecr 27837619], length 2896
17:48:30.521094 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4265808:4268704, ack 1, win 58, options [nop,nop,TS val 27837622 ecr 27837620], length 2896
17:48:30.525938 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4268704:4271600, ack 1, win 58, options [nop,nop,TS val 27837623 ecr 27837622], length 2896
17:48:30.530783 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4271600:4274496, ack 1, win 58, options [nop,nop,TS val 27837624 ecr 27837623], length 2896
17:48:30.535628 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4274496:4277392, ack 1, win 58, options [nop,nop,TS val 27837625 ecr 27837624], length 2896
17:48:30.540473 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 4277392:4280288, ack 1, win 58, options [nop,nop,TS val 27837626 ecr 27837625], length 2896
17:48:30.545318 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4280288:4283184, ack 1, win 58, options [nop,nop,TS val 27837628 ecr 27837627], length 2896
17:48:30.550162 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4283184:4286080, ack 1, win 58, options [nop,nop,TS val 27837629 ecr 27837628], length 2896
17:48:30.555007 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4286080:4288976, ack 1, win 58, options [nop,nop,TS val 27837630 ecr 27837629], length 2896
17:48:30.559852 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4288976:4291872, ack 1, win 58, options [nop,nop,TS val 27837631 ecr 27837630], length 2896
17:48:30.564697 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4291872:4294768, ack 1, win 58, options [nop,nop,TS val 27837633 ecr 27837631], length 2896
17:48:30.569542 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4294768:4297664, ack 1, win 58, options [nop,nop,TS val 27837634 ecr 27837633], length 2896
17:48:30.574386 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4297664:4300560, ack 1, win 58, options [nop,nop,TS val 27837635 ecr 27837634], length 2896
17:48:30.579231 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4300560:4303456, ack 1, win 58, options [nop,nop,TS val 27837636 ecr 27837635], length 2896
17:48:30.584076 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4303456:4306352, ack 1, win 58, options [nop,nop,TS val 27837637 ecr 27837636], length 2896
17:48:30.588921 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4306352:4309248, ack 1, win 58, options [nop,nop,TS val 27837639 ecr 27837637], length 2896
17:48:30.593765 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4309248:4312144, ack 1, win 58, options [nop,nop,TS val 27837640 ecr 27837639], length 2896
17:48:30.598610 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4312144:4315040, ack 1, win 58, options [nop,nop,TS val 27837641 ecr 27837640], length 2896
17:48:30.603455 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4315040:4317936, ack 1, win 58, options [nop,nop,TS val 27837642 ecr 27837641], length 2896
17:48:30.608300 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4317936:4320832, ack 1, win 58, options [nop,nop,TS val 27837643 ecr 27837642], length 2896
17:48:30.613212 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4320832:4323728, ack 1, win 58, options [nop,nop,TS val 27837645 ecr 27837643], length 2896
17:48:30.618059 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4323728:4326624, ack 1, win 58, options [nop,nop,TS val 27837646 ecr 27837645], length 2896
17:48:30.622901 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4326624:4329520, ack 1, win 58, options [nop,nop,TS val 27837647 ecr 27837646], length 2896
17:48:30.627746 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4329520:4332416, ack 1, win 58, options [nop,nop,TS val 27837648 ecr 27837647], length 2896
17:48:30.632591 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4332416:4335312, ack 1, win 58, options [nop,nop,TS val 27837649 ecr 27837648], length 2896
17:48:30.637436 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4335312:4338208, ack 1, win 58, options [nop,nop,TS val 27837651 ecr 27837649], length 2896
17:48:30.642281 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4338208:4341104, ack 1, win 58, options [nop,nop,TS val 27837652 ecr 27837651], length 2896
17:48:30.647125 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4341104:4344000, ack 1, win 58, options [nop,nop,TS val 27837653 ecr 27837652], length 2896
17:48:30.651970 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4344000:4346896, ack 1, win 58, options [nop,nop,TS val 27837654 ecr 27837653], length 2896
17:48:30.656815 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4346896:4349792, ack 1, win 58, options [nop,nop,TS val 27837656 ecr 27837654], length 2896
17:48:30.661660 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4349792:4352688, ack 1, win 58, options [nop,nop,TS val 27837657 ecr 27837656], length 2896
17:48:30.666505 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4352688:4355584, ack 1, win 58, options [nop,nop,TS val 27837658 ecr 27837657], length 2896
17:48:30.671349 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4355584:4358480, ack 1, win 58, options [nop,nop,TS val 27837659 ecr 27837658], length 2896
17:48:30.676194 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4358480:4361376, ack 1, win 58, options [nop,nop,TS val 27837660 ecr 27837659], length 2896
17:48:30.681039 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4361376:4364272, ack 1, win 58, options [nop,nop,TS val 27837662 ecr 27837660], length 2896
17:48:30.685884 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4364272:4367168, ack 1, win 58, options [nop,nop,TS val 27837663 ecr 27837662], length 2896
17:48:30.690729 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4367168:4370064, ack 1, win 58, options [nop,nop,TS val 27837664 ecr 27837663], length 2896
17:48:30.695573 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4370064:4372960, ack 1, win 58, options [nop,nop,TS val 27837665 ecr 27837664], length 2896
17:48:30.700423 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4372960:4375856, ack 1, win 58, options [nop,nop,TS val 27837666 ecr 27837665], length 2896
17:48:30.705266 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4375856:4378752, ack 1, win 58, options [nop,nop,TS val 27837668 ecr 27837666], length 2896
17:48:30.711319 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4378752:4381648, ack 1, win 58, options [nop,nop,TS val 27837669 ecr 27837668], length 2896
17:48:30.717375 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4381648:4384544, ack 1, win 58, options [nop,nop,TS val 27837670 ecr 27837669], length 2896
17:48:30.723431 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4384544:4387440, ack 1, win 58, options [nop,nop,TS val 27837671 ecr 27837670], length 2896
17:48:30.729487 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4387440:4390336, ack 1, win 58, options [nop,nop,TS val 27837672 ecr 27837671], length 2896
17:48:30.735543 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4390336:4393232, ack 1, win 58, options [nop,nop,TS val 27837674 ecr 27837673], length 2896
17:48:30.741599 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4393232:4396128, ack 1, win 58, options [nop,nop,TS val 27837675 ecr 27837674], length 2896
17:48:30.747655 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4396128:4399024, ack 1, win 58, options [nop,nop,TS val 27837676 ecr 27837675], length 2896
17:48:30.753711 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4399024:4401920, ack 1, win 58, options [nop,nop,TS val 27837677 ecr 27837676], length 2896
17:48:30.759767 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4401920:4404816, ack 1, win 58, options [nop,nop,TS val 27837679 ecr 27837677], length 2896
17:48:30.765823 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4404816:4407712, ack 1, win 58, options [nop,nop,TS val 27837680 ecr 27837679], length 2896
17:48:30.771881 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4407712:4410608, ack 1, win 58, options [nop,nop,TS val 27837681 ecr 27837680], length 2896
17:48:30.777939 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4410608:4413504, ack 1, win 58, options [nop,nop,TS val 27837682 ecr 27837681], length 2896
17:48:30.783994 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4413504:4416400, ack 1, win 58, options [nop,nop,TS val 27837683 ecr 27837682], length 2896
17:48:30.790049 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4416400:4419296, ack 1, win 58, options [nop,nop,TS val 27837685 ecr 27837683], length 2896
17:48:30.796105 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4419296:4422192, ack 1, win 58, options [nop,nop,TS val 27837686 ecr 27837685], length 2896
17:48:30.802162 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4422192:4425088, ack 1, win 58, options [nop,nop,TS val 27837687 ecr 27837686], length 2896
17:48:30.808215 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4425088:4427984, ack 1, win 58, options [nop,nop,TS val 27837688 ecr 27837687], length 2896
17:48:30.814272 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4427984:4430880, ack 1, win 58, options [nop,nop,TS val 27837689 ecr 27837688], length 2896
17:48:30.820327 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4430880:4433776, ack 1, win 58, options [nop,nop,TS val 27837691 ecr 27837689], length 2896
17:48:30.826383 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 4433776:4436672, ack 1, win 58, options [nop,nop,TS val 27837692 ecr 27837691], length 2896
17:48:30.832439 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4436672:4439568, ack 1, win 58, options [nop,nop,TS val 27837693 ecr 27837692], length 2896
17:48:30.838495 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4439568:4442464, ack 1, win 58, options [nop,nop,TS val 27837694 ecr 27837693], length 2896
17:48:30.844551 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4442464:4445360, ack 1, win 58, options [nop,nop,TS val 27837696 ecr 27837694], length 2896
17:48:30.850607 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4445360:4448256, ack 1, win 58, options [nop,nop,TS val 27837697 ecr 27837696], length 2896
17:48:30.856663 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4448256:4451152, ack 1, win 58, options [nop,nop,TS val 27837698 ecr 27837697], length 2896
17:48:30.862719 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4451152:4454048, ack 1, win 58, options [nop,nop,TS val 27837699 ecr 27837698], length 2896
17:48:30.868775 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4454048:4456944, ack 1, win 58, options [nop,nop,TS val 27837700 ecr 27837699], length 2896
17:48:30.874831 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4456944:4459840, ack 1, win 58, options [nop,nop,TS val 27837702 ecr 27837700], length 2896
17:48:30.880887 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4459840:4462736, ack 1, win 58, options [nop,nop,TS val 27837703 ecr 27837702], length 2896
17:48:30.886943 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4462736:4465632, ack 1, win 58, options [nop,nop,TS val 27837704 ecr 27837703], length 2896
17:48:30.892999 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4465632:4468528, ack 1, win 58, options [nop,nop,TS val 27837705 ecr 27837704], length 2896
17:48:30.899055 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4468528:4471424, ack 1, win 58, options [nop,nop,TS val 27837706 ecr 27837705], length 2896
17:48:30.905111 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4471424:4474320, ack 1, win 58, options [nop,nop,TS val 27837708 ecr 27837706], length 2896
17:48:30.911167 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4474320:4477216, ack 1, win 58, options [nop,nop,TS val 27837709 ecr 27837708], length 2896
17:48:30.917223 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4477216:4480112, ack 1, win 58, options [nop,nop,TS val 27837710 ecr 27837709], length 2896
17:48:30.923279 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4480112:4483008, ack 1, win 58, options [nop,nop,TS val 27837711 ecr 27837710], length 2896
17:48:30.929335 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4483008:4485904, ack 1, win 58, options [nop,nop,TS val 27837712 ecr 27837711], length 2896
17:48:30.935391 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4485904:4488800, ack 1, win 58, options [nop,nop,TS val 27837714 ecr 27837712], length 2896
17:48:30.941447 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4488800:4491696, ack 1, win 58, options [nop,nop,TS val 27837716 ecr 27837714], length 2896
17:48:30.947503 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4491696:4494592, ack 1, win 58, options [nop,nop,TS val 27837717 ecr 27837716], length 2896
17:48:30.953559 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4494592:4497488, ack 1, win 58, options [nop,nop,TS val 27837719 ecr 27837717], length 2896
17:48:30.959615 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4497488:4500384, ack 1, win 58, options [nop,nop,TS val 27837720 ecr 27837719], length 2896
17:48:30.965671 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4500384:4503280, ack 1, win 58, options [nop,nop,TS val 27837722 ecr 27837720], length 2896
17:48:30.971727 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4503280:4506176, ack 1, win 58, options [nop,nop,TS val 27837723 ecr 27837722], length 2896
17:48:30.977783 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4506176:4509072, ack 1, win 58, options [nop,nop,TS val 27837725 ecr 27837723], length 2896
17:48:30.983839 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4509072:4511968, ack 1, win 58, options [nop,nop,TS val 27837726 ecr 27837725], length 2896
17:48:30.989895 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4511968:4514864, ack 1, win 58, options [nop,nop,TS val 27837728 ecr 27837726], length 2896
17:48:30.995951 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4514864:4517760, ack 1, win 58, options [nop,nop,TS val 27837729 ecr 27837728], length 2896
17:48:31.002007 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4517760:4520656, ack 1, win 58, options [nop,nop,TS val 27837731 ecr 27837730], length 2896
17:48:31.008063 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4520656:4523552, ack 1, win 58, options [nop,nop,TS val 27837732 ecr 27837731], length 2896
17:48:31.014119 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4523552:4526448, ack 1, win 58, options [nop,nop,TS val 27837734 ecr 27837732], length 2896
17:48:31.020175 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4526448:4529344, ack 1, win 58, options [nop,nop,TS val 27837735 ecr 27837734], length 2896
17:48:31.026231 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4529344:4532240, ack 1, win 58, options [nop,nop,TS val 27837737 ecr 27837735], length 2896
17:48:31.032287 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4532240:4535136, ack 1, win 58, options [nop,nop,TS val 27837738 ecr 27837737], length 2896
17:48:31.038343 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4535136:4538032, ack 1, win 58, options [nop,nop,TS val 27837740 ecr 27837738], length 2896
17:48:31.044399 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4538032:4540928, ack 1, win 58, options [nop,nop,TS val 27837741 ecr 27837740], length 2896
17:48:31.050455 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4540928:4543824, ack 1, win 58, options [nop,nop,TS val 27837743 ecr 27837741], length 2896
17:48:31.056511 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 4543824:4546720, ack 1, win 58, options [nop,nop,TS val 27837744 ecr 27837743], length 2896
